design_id,cooling_method,stack_layers,gpu_x_mm,gpu_y_mm,hbm_x_mm,hbm_y_mm,interposer_size_mm,gpu_power_w,hbm_power_w_per_layer
1,cold_plate,8,1.97,-4.06,5.97,24.33,110,300,7.0
2,cold_plate,8,1.44,3.23,2.2,24.68,110,300,5.0
3,cold_plate,8,-1.45,4.71,-30.07,0.43,90,400,7.0
4,air,4,2.45,4.68,-20.87,4.25,90,300,3.0
5,air,8,1.7,-0.63,29.0,-3.26,70,600,7.0
6,cold_plate,8,1.82,-3.6,5.84,-22.2,70,500,3.0
7,cold_plate,12,0.69,-3.6,27.88,-4.0,70,500,3.0
8,cold_plate,8,0.59,-1.96,-3.41,22.22,90,400,3.0
9,immersion,4,-2.19,-2.06,-19.0,1.91,50,500,5.0
10,cold_plate,12,-4.77,-4.1,-9.51,-28.0,70,500,7.0
11,air,8,-1.19,-1.98,-6.96,21.22,70,300,5.0
12,immersion,12,-2.34,4.69,-30.16,3.98,90,400,7.0
13,air,12,-2.98,-1.94,2.01,-22.74,70,500,5.0
14,cold_plate,8,0.84,1.5,-5.58,25.41,90,400,3.0
15,air,4,0.88,-3.29,-19.0,-5.43,50,500,7.0
16,air,12,2.83,-4.17,-22.05,1.96,70,500,5.0
17,cold_plate,4,0.21,-0.61,-29.0,4.94,70,300,3.0
18,cold_plate,4,-2.19,1.59,-7.68,30.08,90,600,7.0
19,air,4,-1.29,3.3,-23.91,9.64,90,400,7.0
20,cold_plate,4,-3.35,-4.55,-34.75,0.93,110,500,5.0
21,immersion,12,-1.84,2.72,-25.2,-2.96,90,500,5.0
22,air,12,-3.77,3.31,-2.38,-17.52,70,600,3.0
23,air,8,4.72,0.01,-13.96,-3.77,90,300,3.0
24,cold_plate,4,1.94,0.81,-27.01,3.83,90,500,3.0
25,air,4,-1.02,-1.99,26.1,4.39,110,400,5.0
26,immersion,4,1.34,-3.94,7.87,20.01,90,500,3.0
27,immersion,12,2.85,-4.82,7.01,24.46,70,400,3.0
28,cold_plate,8,1.03,-0.87,25.07,1.26,110,600,5.0
29,cold_plate,4,2.46,3.17,3.78,-16.2,70,300,3.0
30,cold_plate,8,4.21,-3.34,19.0,-8.72,50,300,3.0
31,air,4,0.91,1.81,0.97,-18.0,50,600,5.0
